feature,f_score_rank,mi_rank,tree_importance_rank,linear_coef_rank,avg_rank,f_score,mutual_info,avg_importance,avg_abs_coef
baseline_env_EnvT,1.0,1.0,1.0,1.0,1.0,62.46356066151513,0.4625438428115145,0.4134321754639656,8.593815112353756
wait_time,3.0,2.0,4.0,2.0,2.75,21.326929463188666,0.4141395043943725,0.07666629164647877,5.0497567556148
baseline_env_EnvH,2.0,3.0,2.0,5.0,3.0,41.57121338954143,0.3705596898984962,0.1531428176802734,3.5347265612519294
before_turn_on_env_InH,4.0,4.0,5.0,4.0,4.25,4.932550693660007,0.27344624826389374,0.06919686814725577,3.8154008595697713
before_turn_on_env_IrO,7.0,6.0,3.0,9.0,6.25,0.475184682039871,0.17649709064637342,0.08419476539226105,0.5531733568508624
before_turn_on_env_InT,6.0,10.0,8.0,3.0,6.75,0.7852242939001597,0.029634976099974786,0.04014261640925213,4.331929432885081
before_turn_on_env_IrA,5.0,7.0,7.0,10.0,7.25,1.8077402109631842,0.17631750776788024,0.04437405269210434,0.06486264657212522
iteration_since_maintenance,8.0,8.0,9.0,6.0,7.75,0.18711733533042907,0.1201489356028631,0.03744482392335142,1.9407567430348422
duration_cc_flow,9.0,9.0,6.0,7.0,7.75,0.0163976923206796,0.04369499477466876,0.0565279353941014,1.382738432378681
cook_time,10.0,5.0,10.0,8.0,8.25,0.007545230867740382,0.22964054181780824,0.024877653250956144,0.5686947743387276
