feature,effect_range,optimal_value,optimal_quality,correlation,p_value,min_prediction,max_prediction,current_mean
baseline_env_EnvT,34.95924468800675,26.29,61.90860135214033,0.6400742255975209,6.445594211997144e-12,26.94935666413358,61.90860135214033,24.851195652173907
duration_cc_flow,12.334128785720253,132.6126530612245,31.064009544478075,-0.013496791907473833,0.8983923567562629,18.729880758757822,31.064009544478075,74.03141304347828
before_turn_on_env_IrO,8.872952313824001,41.54714285714286,37.81136358963143,0.0724713709571967,0.4923850447284543,28.938411275807432,37.81136358963143,57.37978260869565
before_turn_on_env_InT,7.360134104386205,-45.0,30.696747557314083,-0.09300135548651581,0.3779097350956676,23.336613452927878,30.696747557314083,38.32706521739131
cook_time,5.297968705328728,12.857142857142858,35.472156728443906,-0.009155810759389746,0.9309731486552605,30.17418802311518,35.472156728443906,69.16304347826087
iteration_since_maintenance,4.2371334066838955,4.489795918367347,31.26325996358055,-0.045549620109530044,0.6663615121582948,27.026126556896653,31.26325996358055,24.554347826086957
wait_time,3.617447424514303,37.06122448979592,30.64409804373363,-0.4376874064410957,1.2831671769560107e-05,27.02665061921933,30.64409804373363,52.59782608695652
before_turn_on_env_IrA,3.302423888353996,28.605510204081632,33.53099821434007,0.14032283825609793,0.18215849210292367,30.228574325986077,33.53099821434007,30.672826086956523
baseline_env_EnvH,2.724649891861805,62.87020408163265,30.961597420309328,0.562103009528373,5.530692939830668e-09,28.236947528447523,30.961597420309328,63.2313043478261
before_turn_on_env_InH,0.45815185820331195,41.084489795918365,30.647824601977348,0.22794402029424743,0.028865073251357516,30.189672743774036,30.647824601977348,37.96076086956521
