feature,LinearRegression_coef,Ridge_coef,Lasso_coef,ElasticNet_coef,avg_abs_coef
baseline_env_EnvT,8.75408760871877,8.588836318209198,8.786394993854497,8.245941528632557,8.593815112353756
wait_time,5.314446537100133,5.238779591848202,4.807733103472167,4.838067790038699,5.0497567556148
before_turn_on_env_InT,4.503917217218392,4.343955801775958,4.514381330530433,3.9654633820155416,4.331929432885081
before_turn_on_env_InH,3.946202240981876,3.832937096215713,3.935095587529869,3.547368513551626,3.8154008595697713
baseline_env_EnvH,3.4348131252752188,3.5390607184250706,3.4300188636283835,3.735013537679044,3.5347265612519294
iteration_since_maintenance,2.072280258654651,2.025139086962138,1.8652052755997515,1.8004023509228289,1.9407567430348422
duration_cc_flow,1.5065558278531221,1.4538495895454457,1.3243662838126578,1.246182028303499,1.382738432378681
cook_time,0.683487987175111,0.6829876989523835,0.3672116536829193,0.5410917575444965,0.5686947743387276
before_turn_on_env_IrO,0.5349236690918686,0.6342982026914386,0.3423318002002224,0.7011397554199201,0.5531733568508624
before_turn_on_env_IrA,0.1540731115343077,0.0949602368589,0.010417237895293186,0.0,0.06486264657212522
