Model,Test_R2,Test_MSE,Test_MAE,CV_R2,Scaler
SVR,0.6926349781773766,85.17483375635412,7.252855145165372,0.5630407641948355,robust
MLP,0.6868763304946897,86.77062971298493,8.01349704367521,0.491255116524968,none
KNN,0.6683104138378283,91.91548599951143,7.809378706514487,0.6648167902181896,none
ExtraTrees,0.6607638177802747,94.00674563867568,7.653958940153414,0.5953590861848171,none
RandomForest,0.5958339167595377,111.99966328578948,8.186152631578956,0.5143768324413669,none
AdaBoost,0.5428747520398474,126.6753346557026,8.19084696181012,0.5051297673558203,none
GradientBoosting,0.5230697735805311,132.16355103705104,9.235183000640621,0.45850174149731043,none
ElasticNet,0.3812961344559235,171.45086509727108,11.532134837769553,0.3611207088827915,robust
Lasso,0.360517447258495,177.20890879795476,11.393760995246307,0.21634367473526858,none
BayesianRidge,0.3490889221638557,180.37590131793635,11.597060051470779,0.2133360940322168,none
Ridge,0.31234978058663077,190.55679391799654,11.932405838566059,0.22162877912875226,none
