feature,change_percent,original_value,new_value,baseline_quality,new_quality,quality_change,sensitivity
baseline_env_EnvT,-20,24.851195652173907,21.64,30.532424675444286,26.94935666413358,-3.5830680113107043,-0.17915340056553522
baseline_env_EnvT,-10,24.851195652173907,22.366076086956518,30.532424675444286,32.70011249212747,2.1676878166831806,0.21676878166831806
baseline_env_EnvT,-5,24.851195652173907,23.60863586956521,30.532424675444286,32.77330570737543,2.240881031931142,0.4481762063862284
baseline_env_EnvT,5,24.851195652173907,26.093755434782604,30.532424675444286,60.25267770466374,29.720253029219453,5.9440506058438904
baseline_env_EnvT,10,24.851195652173907,26.29,30.532424675444286,61.90860135214033,31.376176676696044,3.1376176676696046
baseline_env_EnvT,20,24.851195652173907,26.29,30.532424675444286,61.90860135214033,31.376176676696044,1.5688088338348023
duration_cc_flow,-20,74.03141304347828,59.22513043478263,30.532424675444286,24.404568932924768,-6.127855742519518,-0.3063927871259759
duration_cc_flow,-10,74.03141304347828,66.62827173913045,30.532424675444286,30.364540315816605,-0.16788435962768133,-0.016788435962768133
duration_cc_flow,-5,74.03141304347828,70.32984239130437,30.532424675444286,30.48016951377057,-0.0522551616737168,-0.01045103233474336
duration_cc_flow,5,74.03141304347828,77.7329836956522,30.532424675444286,30.532424675444286,0.0,0.0
duration_cc_flow,10,74.03141304347828,81.43455434782612,30.532424675444286,30.51676537399253,-0.015659301451755425,-0.0015659301451755425
duration_cc_flow,20,74.03141304347828,88.83769565217393,30.532424675444286,30.545911929845584,0.013487254401297832,0.0006743627200648916
before_turn_on_env_IrO,-20,57.37978260869565,45.90382608695652,30.532424675444286,37.81136358963143,7.2789389141871474,0.3639469457093574
before_turn_on_env_IrO,-10,57.37978260869565,51.64180434782609,30.532424675444286,37.81136358963143,7.2789389141871474,0.7278938914187147
before_turn_on_env_IrO,-5,57.37978260869565,54.510793478260865,30.532424675444286,30.571755719622153,0.03933104417786737,0.007866208835573475
before_turn_on_env_IrO,5,57.37978260869565,60.24877173913043,30.532424675444286,30.826463474209387,0.29403879876510075,0.05880775975302015
before_turn_on_env_IrO,10,57.37978260869565,63.11776086956522,30.532424675444286,30.80986315302525,0.27743847758096507,0.027743847758096508
before_turn_on_env_IrO,20,57.37978260869565,68.85573913043477,30.532424675444286,28.94159021648552,-1.590834458958767,-0.07954172294793835
before_turn_on_env_InT,-20,38.32706521739131,30.661652173913048,30.532424675444286,30.696747557314083,0.16432288186979704,0.008216144093489853
before_turn_on_env_InT,-10,38.32706521739131,34.49435869565218,30.532424675444286,30.696747557314083,0.16432288186979704,0.016432288186979706
before_turn_on_env_InT,-5,38.32706521739131,36.41071195652174,30.532424675444286,30.696747557314083,0.16432288186979704,0.03286457637395941
before_turn_on_env_InT,5,38.32706521739131,40.24341847826088,30.532424675444286,24.102219901935786,-6.4302047735085,-1.2860409547017
before_turn_on_env_InT,10,38.32706521739131,42.15977173913044,30.532424675444286,23.427082936486862,-7.105341738957424,-0.7105341738957425
before_turn_on_env_InT,20,38.32706521739131,45.42,30.532424675444286,23.40736283873609,-7.125061836708195,-0.35625309183540976
cook_time,-20,69.16304347826087,55.330434782608705,30.532424675444286,31.285924277446817,0.7534996020025311,0.03767498010012656
cook_time,-10,69.16304347826087,62.24673913043479,30.532424675444286,30.55059312166029,0.018168446216005663,0.0018168446216005663
cook_time,-5,69.16304347826087,65.70489130434783,30.532424675444286,30.5437503626498,0.01132568720551319,0.0022651374411026383
cook_time,5,69.16304347826087,72.62119565217392,30.532424675444286,30.506847401068743,-0.025577274375542913,-0.005115454875108583
cook_time,10,69.16304347826087,76.07934782608697,30.532424675444286,30.491961733798888,-0.040462941645397876,-0.004046294164539788
cook_time,20,69.16304347826087,82.99565217391304,30.532424675444286,30.546073209768416,0.013648534324129713,0.0006824267162064857
