feature,f_score,f_pvalue,mutual_info,f_score_rank,mi_rank
baseline_env_EnvT,62.46356066151513,6.445594212029028e-12,0.4625438428115145,1.0,1.0
baseline_env_EnvH,41.57121338954143,5.530692939808311e-09,0.3705596898984962,2.0,3.0
wait_time,21.326929463188666,1.2831671769560045e-05,0.4141395043943725,3.0,2.0
before_turn_on_env_InH,4.932550693660007,0.028865073251358425,0.27344624826389374,4.0,4.0
before_turn_on_env_IrA,1.8077402109631842,0.18215849210292634,0.17631750776788024,5.0,7.0
before_turn_on_env_InT,0.7852242939001597,0.37790973509566883,0.029634976099974786,6.0,10.0
before_turn_on_env_IrO,0.475184682039871,0.4923850447284568,0.17649709064637342,7.0,6.0
iteration_since_maintenance,0.18711733533042907,0.6663615121582974,0.1201489356028631,8.0,8.0
duration_cc_flow,0.0163976923206796,0.8983923567562583,0.04369499477466876,9.0,9.0
cook_time,0.007545230867740382,0.930973148655276,0.22964054181780824,10.0,5.0
